FullName,NativeCountry,Gender,Age,MaritalStatus,EconomicStatus,IndustrialGroup,HighestEducationCompleted,FieldOfStudy,County
Alan O'Ryan,Ireland,male,40,Married (first marriage),Employee,Human health and social work activities (Q),Higher certificate,Other engineering/manufacturing and construction,Dublin City
Grace Murphy,Ireland,female,39,Married (first marriage),Employee,Financial and insurance activities (K),Postgraduate diploma or degree,Computer use,Galway County
Odhran O'Kelly,Ireland,male,37,Married (first marriage),Employee,Professional/scientific and technical activities (M),Ordinary bachelor degree/professional qualification or both,Other humanities,Louth
Liam O'Sullivan,Ireland,male,20,Single,Unemployed having lost or given up previous job,Manufacturing (C),Honours bachelor degree/professional qualification or both,Business and administration (broad programmes),Cork County
Jamie O'Connor,Ireland,male,15,Single,Student or pupil,Construction (F),Upper secondary,Hotel/restaurant and catering,Cavan
Sophia Murphy,Ireland,female,16,Single,Student or pupil,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Biology and biochemistry,Cavan
Natalia O'Neill,Ireland,female,20,Single,Unemployed having lost or given up previous job,Human health and social work activities (Q),Honours bachelor degree/professional qualification or both,Business and administration (broad programmes),Clare
Roisin O'Sullivan,Ireland,female,30,Single,Employee,Information and communication (J),Upper secondary,Other arts,Cork County
Robert Doyle,Ireland,male,38,Single,Unable to work due to permanent sickness or disability,Agriculture/forestry and fishing (A),Advanced certificate/completed apprenticeship,Engineering and engineering trades (broad programmes),Limerick County
Nicole O'Neill,Ireland,female,16,Single,Student or pupil,Public administration and defence; compulsory social security (O),Technical/vocational,Economics,Limerick County
Emily Murphy,Ireland,female,51,Re-married (following widowhood),Looking after home/family,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Other personal services,Dublin City
Alannah O'Byrne,Ireland,female,32,Married (first marriage),Employer or own account worker,Agriculture/forestry and fishing (A),Primary,Accounting and taxation,Cork County
Shay O'Brien,Ireland,male,43,Married (first marriage),Employer or own account worker,Financial and insurance activities (K),Honours bachelor degree/professional qualification or both,Physical sciences (physics/chemistry/earth science),Kildare
Molly Lynch,Ireland,female,24,Single,Unemployed having lost or given up previous job,Education (P),Honours bachelor degree/professional qualification or both,Nursing and caring,Dublin City
Susanna Laitinen,Finland,female,59,Single,Retired,Industry not stated,Primary,Other social sciences/business and law subjects,Kildare
Marie Cihak,Czech Republic,female,45,Separated (including deserted),Unemployed having lost or given up previous job,Accommodation and food service activities (I),Lower secondary,Other humanities,Dublin City
Isabella Kelly,Ireland,female,40,Single,Employer or own account worker,Financial and insurance activities (K),Ordinary bachelor degree/professional qualification or both,Other science/mathematics and computing,Cork City
Michael Kelly,Ireland,male,25,Single,Employee,Administrative and support service activities (N),Honours bachelor degree/professional qualification or both,Nursing and caring,Dun Laoghaire-Rathdown
Maria Byrne,Ireland,female,77,Married (first marriage),Retired,Industry not stated,Primary,Education and teacher training,Dublin City
Rory McCarthy,Ireland,male,31,Married (first marriage),Employee,Human health and social work activities (Q),Advanced certificate/completed apprenticeship,Secretarial and office work,Fingal
Noah O'Ryan,Ireland,male,19,Single,Student or pupil,Construction (F),Upper secondary,Accounting and taxation,Donegal
Szymon Chudzinski,Poland,male,73,Married (first marriage),Retired,Industry not stated,Higher certificate,Crop and livestock production,Kilkenny
Diarmuid O'Neill,Ireland,male,44,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Building and civil engineering,Westmeath
Sarah O'Kelly,Ireland,female,49,Single,Unemployed having lost or given up previous job,Accommodation and food service activities (I),Upper secondary,Management and administration,Westmeath
will Villanueva,Philippines,male,35,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Other engineering/manufacturing and construction,Cork County
Adam Gallagher,Ireland,male,42,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Technical/vocational,Physical sciences (physics/chemistry/earth science),Donegal
Charlie Murphy,Ireland,male,39,Married (first marriage),Employee,Water supply; sewerage/waste management and remediation activities (E),Higher certificate,Crop and livestock production,Laois
Remigijus Jankauskas,Lithuania,male,44,Married (first marriage),Employee,Manufacturing (C),Lower secondary,Design,Kildare
Indira Sharma,India,female,39,Single,Employer or own account worker,Professional/scientific and technical activities (M),Postgraduate diploma or degree,Mother tongue,Limerick County
Emily O'Brien,Ireland,female,42,Married (first marriage),Employee,Education (P),Lower secondary,Computer science,Meath
Michael Gallagher,Ireland,male,29,Single,Employee,Agriculture/forestry and fishing (A),Lower secondary,Business and administration (broad programmes),Kilkenny
Lucy Kennedy,Ireland,female,59,Married (first marriage),Looking after home/family,Education (P),Lower secondary,Nursing and caring,Kerry
Oliver McCarthy,Ireland,male,48,Divorced,Unemployed having lost or given up previous job,Education (P),Honours bachelor degree/professional qualification or both,Other engineering/manufacturing and construction,Monaghan
Maja Murphy,Ireland,female,42,Married (first marriage),Employer or own account worker,Professional/scientific and technical activities (M),Lower secondary,Nursing and caring,South Dublin
Didier Morel,France,male,50,Married (first marriage),Unable to work due to permanent sickness or disability,Accommodation and food service activities (I),Lower secondary,Design,Wexford
Jack Kelly,Ireland,male,28,Married (first marriage),Unable to work due to permanent sickness or disability,Transportation and storage (H),Higher certificate,Electricity and energy,Mayo
Caoimhe Murphy,Ireland,female,26,Married (first marriage),Looking after home/family,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Other personal services,Offaly
Cathal Lynch,Ireland,male,30,Separated (including deserted),Employee,Agriculture/forestry and fishing (A),Ordinary bachelor degree/professional qualification or both,Other subjects,South Dublin
Maya O'Reilly,Ireland,female,27,Single,Employee,Human health and social work activities (Q),Lower secondary,Economics,Dun Laoghaire-Rathdown
Courtney O'Brien,Ireland,female,46,Married (first marriage),Employee,Human health and social work activities (Q),Advanced certificate/completed apprenticeship,Physical sciences (physics/chemistry/earth science),Kilkenny
Daniel O'Connor,Ireland,male,37,Single,Looking after home/family,Agriculture/forestry and fishing (A),Lower secondary,Other engineering/manufacturing and construction,Laois
Olivia McCarthy,Ireland,female,79,Widowed,Retired,Industry not stated,Primary,Audio-visual techniques and media production,Laois
Jamie McCarthy,Ireland,male,70,Married (first marriage),Looking after home/family,Human health and social work activities (Q),Primary,Motor vehicles/ships and aircraft,Dublin City
Adam Moore,Ireland,male,33,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Economics,Dublin City
Eva Murray,Ireland,female,28,Single,Employee,Human health and social work activities (Q),Upper secondary,Music and performing arts,Wexford
Ellen O'Neill,Ireland,female,82,Widowed,Retired,Industry not stated,Primary,Nursing and caring,Kerry
Patrick Kennedy,Ireland,male,70,Widowed,Retired,Industry not stated,Primary,Other engineering/manufacturing and construction,Fingal
Mantas Petrauskas,Lithuania,male,20,Single,Unable to work due to permanent sickness or disability,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Ordinary bachelor degree/professional qualification or both,Other arts,Fingal
Katie O'Neill,Ireland,female,50,Married (first marriage),Employee,Financial and insurance activities (K),Upper secondary,Other social sciences/business and law subjects,Meath
Emily Murphy,Ireland,female,44,Single,Employer or own account worker,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Ordinary bachelor degree/professional qualification or both,Music and performing arts,Cork County
Harry O'Connor,Ireland,male,27,Single,Unemployed having lost or given up previous job,Financial and insurance activities (K),Upper secondary,Hair and beauty services,Fingal
Aisling O'Sullivan,Ireland,female,50,Single,Employer or own account worker,Public administration and defence; compulsory social security (O),Advanced certificate/completed apprenticeship,Child care and youth services,Louth
Grace O'Sullivan,Ireland,female,35,Married (first marriage),Employee,Accommodation and food service activities (I),Postgraduate diploma or degree,Other social sciences/business and law subjects,Kerry
Emma O'Kelly,Ireland,female,36,Single,Employee,Human health and social work activities (Q),Advanced certificate/completed apprenticeship,Education and teacher training,Limerick City
Jack O'Neill,Ireland,male,33,Single,Looking after home/family,Manufacturing (C),Honours bachelor degree/professional qualification or both,Accounting and taxation,Mayo
Oliwia O'Sullivan,Ireland,female,19,Single,Student or pupil,Education (P),Higher certificate,Law,Galway County
Aaron O'Neill,Ireland,male,40,Single,Unemployed having lost or given up previous job,Construction (F),Honours bachelor degree/professional qualification or both,Management and administration,Cork County
Patrick Murphy,Ireland,male,21,Single,Student or pupil,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Hotel/restaurant and catering,Offaly
Nathan O'Sullivan,Ireland,male,17,Single,Student or pupil,Accommodation and food service activities (I),Lower secondary,Building and civil engineering,Dublin City
Claire O'Brien,Ireland,female,19,Single,Student or pupil,Human health and social work activities (Q),Advanced certificate/completed apprenticeship,Physical sciences (physics/chemistry/earth science),Cork County
Amelia O'Byrne,Ireland,female,40,Married (first marriage),Employee,Administrative and support service activities (N),Lower secondary,Accounting and taxation,Longford
Jakub Foltyn,Poland,male,30,Married (first marriage),Employee,Professional/scientific and technical activities (M),Lower secondary,Other personal services,Dublin City
Katie O'Neill,Ireland,female,30,Married (first marriage),Employee,Human health and social work activities (Q),Primary,Medicine,Meath
Caoimhe O'Reilly,Ireland,female,35,Single,Employee,Accommodation and food service activities (I),Lower secondary,Medicine,Laois
Teresa Costa,Italy,female,57,Married (first marriage),Employer or own account worker,Financial and insurance activities (K),Lower secondary,Secretarial and office work,Louth
Lucy Doyle,Ireland,female,39,Single,Employee,Education (P),Advanced certificate/completed apprenticeship,Nursing and caring,South Dublin
Ryan O'Sullivan,Ireland,male,41,Single,Employer or own account worker,Transportation and storage (H),Honours bachelor degree/professional qualification or both,Computer use,Kerry
Christopher O'Neill,Ireland,male,18,Married (first marriage),Student or pupil,Agriculture/forestry and fishing (A),Lower secondary,Building and civil engineering,North Tipperary
Emma Gallagher,Ireland,female,32,Married (first marriage),Employee,Other service activities (S),Lower secondary,Nursing and caring,Dublin City
Jacob O'Moore,Ireland,male,20,Single,Student or pupil,Professional/scientific and technical activities (M),Honours bachelor degree/professional qualification or both,Business and administration (broad programmes),Longford
Becky David,United States of America,female,32,Single,Employee,Administrative and support service activities (N),Upper secondary,Business and administration (broad programmes),Galway County
Oisin O'Neill,Ireland,male,36,Single,Employee,Real estate activities (L),Technical/vocational,Building and civil engineering,Cork County
Samuel O'Sullivan,Ireland,male,29,Single,Employee,Administrative and support service activities (N),Advanced certificate/completed apprenticeship,Building and civil engineering,South Tipperary
Isabella O'Neill,Ireland,female,35,Single,Employee,Human health and social work activities (Q),Upper secondary,Social work and counselling,Kildare
Lily O'Brien,Ireland,female,50,Married (first marriage),Unemployed looking for first regular job,Public administration and defence; compulsory social security (O),Upper secondary,Business and administration (broad programmes),Donegal
Karol Jagla,Poland,male,33,Married (first marriage),Employee,Construction (F),Postgraduate diploma or degree,Marketing and advertising,Kildare
Alexander Gallagher,Ireland,male,31,Divorced,Employee,Manufacturing (C),Technical/vocational,Computer science,Monaghan
Mark O'Neill,Ireland,male,56,Married (first marriage),Employee,Construction (F),Advanced certificate/completed apprenticeship,Education and teacher training,Cork County
Harry O'Reilly,Ireland,male,25,Single,Employee,Manufacturing (C),Technical/vocational,Computer use,Dublin City
Saoirse O'Sullivan,Ireland,female,46,Single,Unable to work due to permanent sickness or disability,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Advanced certificate/completed apprenticeship,Engineering and engineering trades (broad programmes),Laois
Jake Murphy,Ireland,male,22,Single,Looking after home/family,Accommodation and food service activities (I),Upper secondary,Accounting and taxation,Kerry
Luke O'Neill,Ireland,male,34,Single,Employee,Administrative and support service activities (N),Honours bachelor degree/professional qualification or both,Crop and livestock production,Wicklow
Ciaran O'Sullivan,Ireland,male,39,Married (first marriage),Employee,Other service activities (S),Lower secondary,Electricity and energy,Fingal
Zuzanna Burak,Poland,female,35,Married (first marriage),Employer or own account worker,Education (P),Doctorate (Ph.D),Social work and counselling,Donegal
Aimee O'Neill,Ireland,female,33,Married (first marriage),Employee,Manufacturing (C),Upper secondary,Other social sciences/business and law subjects,Westmeath
Charlie O'Sullivan,Ireland,male,15,Single,Student or pupil,Public administration and defence; compulsory social security (O),Technical/vocational,Mechanics and metalwork,South Tipperary
Lily O'Sullivan,Ireland,female,20,Single,Employee,Financial and insurance activities (K),Upper secondary,Management and administration,Kildare
Shauna O'Kelly,Ireland,female,38,Single,Employee,Human health and social work activities (Q),Ordinary bachelor degree/professional qualification or both,Medicine,Fingal
Conor O'Sullivan,Ireland,male,38,Separated (including deserted),Employee,Construction (F),Upper secondary,Mechanics and metalwork,Galway County
Maya O'Ryan,Ireland,female,47,Married (first marriage),Employer or own account worker,Activities of households as employers producing activities of households for own use (T),Upper secondary,Education and teacher training,South Dublin
Hannah Murphy,Ireland,female,45,Married (first marriage),Employee,Arts/entertainment and recreation (R),Upper secondary,Business and administration (broad programmes),Fingal
David O'Sullivan,Ireland,male,40,Married (first marriage),Employee,Information and communication (J),Upper secondary,Education and teacher training,Fingal
Raminta Jankauskas,Lithuania,female,67,Single,Retired,Industry not stated,Primary,Other health and welfare,Laois
Cormac O'Sullivan,Ireland,male,66,Separated (including deserted),Unable to work due to permanent sickness or disability,Construction (F),Technical/vocational,Other agriculture and veterinary,Limerick City
