FullName,NativeCountry,Gender,Age,MaritalStatus,EconomicStatus,IndustrialGroup,HighestEducationCompleted,FieldOfStudy,County
Tadhg O'Reilly,Ireland,male,58,Married (first marriage),Employee,Transportation and storage (H),Postgraduate diploma or degree,Building and civil engineering,Dublin City
Paul O'Kelly,Ireland,male,46,Married (first marriage),Employee,Manufacturing (C),Primary,Biology and biochemistry,Meath
Caoimhe Murphy,Ireland,female,43,Married (first marriage),Looking after home/family,Manufacturing (C),Ordinary bachelor degree/professional qualification or both,Education and teacher training,Cork County
Katie O'Sullivan,Ireland,female,45,Married (first marriage),Employee,Arts/entertainment and recreation (R),Lower secondary,Hotel/restaurant and catering,Dublin City
Daithi McCarthy,Ireland,male,60,Married (first marriage),Looking after home/family,Agriculture/forestry and fishing (A),Lower secondary,Crop and livestock production,Sligo
Conor Murphy,Ireland,male,24,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Hair and beauty services,Donegal
Cathal O'Kelly,Ireland,male,39,Married (first marriage),Employer or own account worker,Public administration and defence; compulsory social security (O),Honours bachelor degree/professional qualification or both,Other engineering/manufacturing and construction,Meath
Zoe Doherty,Ireland,female,23,Single,Employee,Human health and social work activities (Q),Technical/vocational,Other social sciences/business and law subjects,Leitrim
Aoife O'Reilly,Ireland,female,70,Separated (including deserted),Retired,Industry not stated,Upper secondary,Other health and welfare,South Dublin
Josef Baranek,Czech Republic,male,39,Single,Employee,Manufacturing (C),Lower secondary,Hotel/restaurant and catering,Kildare
Jamie O'Brien,Ireland,male,72,Widowed,Retired,Industry not stated,Primary,Other arts,Limerick City
Nadine McCarthy,Ireland,female,26,Single,Employee,Education (P),Upper secondary,Music and performing arts,Mayo
Sofia O'Brien,Ireland,female,52,Separated (including deserted),Unemployed having lost or given up previous job,Education (P),Advanced certificate/completed apprenticeship,Other science/mathematics and computing,Limerick County
Anna O'Brien,Ireland,female,80,Widowed,Retired,Industry not stated,Lower secondary,Social work and counselling,Meath
Faye O'Neill,Ireland,female,28,Single,Student or pupil,Manufacturing (C),Technical/vocational,Other social sciences/business and law subjects,Clare
abid Arain,Pakistan,male,43,Married (first marriage),Employer or own account worker,Transportation and storage (H),Postgraduate diploma or degree,Other social sciences/business and law subjects,Waterford City
Aine Murphy,Ireland,female,39,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Accounting and taxation,Cork City
Ethan O'Connor,Ireland,male,33,Single,Employee,Administrative and support service activities (N),Upper secondary,Computer science,Waterford City
Leah Smith,Ireland,female,70,Widowed,Retired,Industry not stated,Lower secondary,Management and administration,Dublin City
Caitlin O'Neill,Ireland,female,39,Married (first marriage),Employee,Human health and social work activities (Q),Upper secondary,Medicine,Kildare
Paolo Costa,Italy,male,23,Single,Unemployed having lost or given up previous job,Information and communication (J),Lower secondary,Motor vehicles/ships and aircraft,Laois
jihane Martins,Niger,female,41,Married (first marriage),Employee,Public administration and defence; compulsory social security (O),Lower secondary,Other arts,Louth
Mason O'Brien,Ireland,male,68,Married (first marriage),Retired,Industry not stated,Upper secondary,Crop and livestock production,Dun Laoghaire-Rathdown
Isabelle O'Byrne,Ireland,female,26,Single,Unemployed having lost or given up previous job,Human health and social work activities (Q),Honours bachelor degree/professional qualification or both,Economics,Sligo
Eva O'Brien,Ireland,female,59,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Accounting and taxation,Limerick City
Jamie O'Kelly,Ireland,male,66,Married (first marriage),Retired,Industry not stated,Advanced certificate/completed apprenticeship,Computer use,Limerick County
Ethan O'Sullivan,Ireland,male,15,Single,Student or pupil,Manufacturing (C),Upper secondary,Secretarial and office work,Cavan
Emily O'Sullivan,Ireland,female,49,Single,Unemployed having lost or given up previous job,Arts/entertainment and recreation (R),Technical/vocational,Other health and welfare,Dublin City
Leah O'Neill,Ireland,female,57,Divorced,Employee,Financial and insurance activities (K),Primary,Economics,Kerry
Pietro Rossi,Italy,male,59,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Design,Donegal
Jason Byrne,Ireland,male,33,Married (first marriage),Unemployed having lost or given up previous job,Manufacturing (C),Technical/vocational,Other social sciences/business and law subjects,Kilkenny
Ava O'Byrne,Ireland,female,26,Married (first marriage),Employee,Education (P),Advanced certificate/completed apprenticeship,Accounting and taxation,Dun Laoghaire-Rathdown
Niamh O'Sullivan,Ireland,female,30,Single,Employee,Education (P),Upper secondary,Management and administration,Galway City
Ellie O'Brien,Ireland,female,18,Single,Student or pupil,Manufacturing (C),Upper secondary,Education and teacher training,Meath
Daniel McCarthy,Ireland,male,58,Married (first marriage),Unemployed having lost or given up previous job,Professional/scientific and technical activities (M),Lower secondary,Building and civil engineering,Laois
Isabelle O'Byrne,Ireland,female,32,Single,Employee,Transportation and storage (H),Honours bachelor degree/professional qualification or both,Nursing and caring,Clare
Sarah O'Sullivan,Ireland,female,62,Married (first marriage),Employer or own account worker,Education (P),Technical/vocational,Business and administration (broad programmes),South Dublin
Daithi Lynch,Ireland,male,50,Single,Employer or own account worker,Other service activities (S),Ordinary bachelor degree/professional qualification or both,Business and administration (broad programmes),Kerry
Luke Moore,Ireland,male,35,Married (first marriage),Employee,Manufacturing (C),Postgraduate diploma or degree,Motor vehicles/ships and aircraft,Fingal
Conor Walsh,Ireland,male,37,Married (first marriage),Employee,Construction (F),Ordinary bachelor degree/professional qualification or both,Motor vehicles/ships and aircraft,Kerry
Shauna O'Brien,Ireland,female,46,Single,Unemployed having lost or given up previous job,Public administration and defence; compulsory social security (O),Primary,Other health and welfare,Limerick County
Dylan O'Connor,Ireland,male,57,Married (first marriage),Retired,Industry not stated,Advanced certificate/completed apprenticeship,Computer use,Mayo
Eve O'Connor,Ireland,female,54,Single,Employee,Human health and social work activities (Q),Lower secondary,Child care and youth services,Louth
Paul O'Reilly,Ireland,male,42,Married (first marriage),Employee,Electricity/gas/steam and air conditioning supply (D),Lower secondary,Building and civil engineering,Cork County
Seamus O'Brien,Ireland,male,36,Single,Employer or own account worker,Other service activities (S),Honours bachelor degree/professional qualification or both,Computer use,Wexford
Aimee O'Sullivan,Ireland,female,56,Married (first marriage),Unemployed having lost or given up previous job,Arts/entertainment and recreation (R),Ordinary bachelor degree/professional qualification or both,Education and teacher training,Laois
Aoibheann O'Neill,Ireland,female,48,Single,Looking after home/family,Water supply; sewerage/waste management and remediation activities (E),Lower secondary,Other social sciences/business and law subjects,Longford
Matthew O'Brien,Ireland,male,46,Married (first marriage),Unemployed having lost or given up previous job,Human health and social work activities (Q),Technical/vocational,Accounting and taxation,Kildare
Callum Kelly,Ireland,male,25,Single,Employee,Construction (F),Technical/vocational,Physical sciences (physics/chemistry/earth science),Fingal
Katelyn Walsh,Ireland,female,21,Single,Employee,Public administration and defence; compulsory social security (O),Upper secondary,Nursing and caring,Dublin City
Mary O'Neill,Ireland,female,50,Single,Employee,Accommodation and food service activities (I),Postgraduate diploma or degree,Hotel/restaurant and catering,Limerick City
Adam O'Brien,Ireland,male,19,Single,Student or pupil,Manufacturing (C),Upper secondary,Crop and livestock production,Kilkenny
Katie O'Neill,Ireland,female,59,Divorced,Employee,Information and communication (J),Lower secondary,Medicine,Wicklow
Kyle O'Sullivan,Ireland,male,54,Married (first marriage),Looking after home/family,Accommodation and food service activities (I),Upper secondary,Building and civil engineering,Cork County
Lily McCarthy,Ireland,female,31,Married (first marriage),Employee,Professional/scientific and technical activities (M),Lower secondary,Nursing and caring,Clare
Lily Murray,Ireland,female,15,Single,Student or pupil,Education (P),Lower secondary,Foreign languages,Donegal
Emma O'Sullivan,Ireland,female,36,Single,Employee,Accommodation and food service activities (I),Lower secondary,Nursing and caring,Waterford City
Megan Smith,Ireland,female,38,Married (first marriage),Unemployed having lost or given up previous job,Accommodation and food service activities (I),Ordinary bachelor degree/professional qualification or both,Other social sciences/business and law subjects,Clare
Attila Bartus,Hungary,male,28,Single,Unemployed having lost or given up previous job,Accommodation and food service activities (I),Honours bachelor degree/professional qualification or both,Management and administration,Fingal
Isabelle O'Connor,Ireland,female,64,Single,Unable to work due to permanent sickness or disability,Other service activities (S),Advanced certificate/completed apprenticeship,Other arts,Donegal
Ronan Ryan,Ireland,male,32,Single,Unemployed having lost or given up previous job,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Honours bachelor degree/professional qualification or both,Audio-visual techniques and media production,Dublin City
Jennifer Murphy,Ireland,female,52,Married (first marriage),Looking after home/family,Human health and social work activities (Q),Doctorate (Ph.D),Foreign languages,South Dublin
Chloe O'Neill,Ireland,female,20,Single,Student or pupil,Human health and social work activities (Q),Postgraduate diploma or degree,Nursing and caring,Clare
Gerard O'Sullivan,Ireland,male,42,Married (first marriage),Employee,Professional/scientific and technical activities (M),Primary,Other engineering/manufacturing and construction,Clare
Conor O'Reilly,Ireland,male,36,Single,Unemployed having lost or given up previous job,Professional/scientific and technical activities (M),Primary,Motor vehicles/ships and aircraft,Cork County
Holly O'Sullivan,Ireland,female,38,Married (first marriage),Employee,Manufacturing (C),Technical/vocational,Secretarial and office work,Cork County
Samuel O'Neill,Ireland,male,57,Married (first marriage),Employer or own account worker,Education (P),Primary,Crop and livestock production,Dublin City
Adam Byrne,Ireland,male,53,Married (first marriage),Unemployed having lost or given up previous job,Manufacturing (C),Upper secondary,Biology and biochemistry,Meath
Emer O'Reilly,Ireland,female,48,Married (first marriage),Employee,Education (P),Advanced certificate/completed apprenticeship,Accounting and taxation,Monaghan
Maria O'Sullivan,Ireland,female,53,Married (first marriage),Unemployed having lost or given up previous job,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Business and administration (broad programmes),Kerry
Damian Gens,Poland,male,17,Single,Student or pupil,Construction (F),Technical/vocational,Nursing and caring,Wicklow
Lena O'Neill,Ireland,female,20,Single,Employee,Activities of households as employers producing activities of households for own use (T),Upper secondary,Hotel/restaurant and catering,Limerick City
Harry Ryan,Ireland,male,15,Single,Student or pupil,Accommodation and food service activities (I),Upper secondary,Marketing and advertising,Mayo
Ella O'Neill,Ireland,female,47,Separated (including deserted),Unable to work due to permanent sickness or disability,Information and communication (J),Honours bachelor degree/professional qualification or both,Nursing and caring,South Dublin
Clodagh Murphy,Ireland,female,30,Married (first marriage),Unemployed having lost or given up previous job,Information and communication (J),Advanced certificate/completed apprenticeship,Computer use,Fingal
Julia Darga,Poland,female,58,Married (first marriage),Employee,Real estate activities (L),Technical/vocational,Other social sciences/business and law subjects,Kildare
Amira Bong,Malaysia,female,74,Married (first marriage),Retired,Industry not stated,Ordinary bachelor degree/professional qualification or both,Child care and youth services,Dun Laoghaire-Rathdown
Aoife O'Sullivan,Ireland,female,47,Married (first marriage),Unemployed having lost or given up previous job,Administrative and support service activities (N),Primary,Hair and beauty services,South Tipperary
Ryan McCarthy,Ireland,male,49,Married (first marriage),Employee,Construction (F),Lower secondary,Other health and welfare,Roscommon
Marek Fleszar,Poland,male,19,Single,Student or pupil,Manufacturing (C),Lower secondary,Social work and counselling,Donegal
Anna McCarthy,Ireland,female,15,Single,Student or pupil,Manufacturing (C),Upper secondary,Education and teacher training,Limerick City
Patrick O'Quinn,Ireland,male,36,Re-married (following dissolution of previous marriage),Employee,Agriculture/forestry and fishing (A),Upper secondary,Mechanics and metalwork,Cork County
Jake O'Byrne,Ireland,male,60,Widowed,Employee,Public administration and defence; compulsory social security (O),Primary,Management and administration,Cork City
Rebecca Murphy,Ireland,female,18,Single,Student or pupil,Education (P),Lower secondary,Education and teacher training,Donegal
James O'Sullivan,Ireland,male,43,Single,Employee,Education (P),Upper secondary,Mechanics and metalwork,Cork County
Kate O'Kelly,Ireland,female,50,Separated (including deserted),Employee,Human health and social work activities (Q),Upper secondary,Other arts,Carlow
Luke Ryan,Ireland,male,43,Single,Unemployed having lost or given up previous job,Electricity/gas/steam and air conditioning supply (D),Ordinary bachelor degree/professional qualification or both,Motor vehicles/ships and aircraft,Dublin City
Saoirse Murphy,Ireland,female,53,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Ordinary bachelor degree/professional qualification or both,Computer use,Dun Laoghaire-Rathdown
Kayla O'Ryan,Ireland,female,27,Single,Employee,Human health and social work activities (Q),Upper secondary,Nursing and caring,Fingal
Oisin O'Sullivan,Ireland,male,63,Married (first marriage),Employee,Public administration and defence; compulsory social security (O),Technical/vocational,Building and civil engineering,Cork County
Klaudia Janos,Poland,female,71,Married (first marriage),Retired,Industry not stated,Primary,Child care and youth services,Wexford
Conor Murphy,Ireland,male,27,Married (first marriage),Looking after home/family,Public administration and defence; compulsory social security (O),Technical/vocational,Law,Cavan
Adam O'Brien,Ireland,male,40,Single,Employer or own account worker,Professional/scientific and technical activities (M),Lower secondary,Motor vehicles/ships and aircraft,Westmeath
Tom O'Ryan,Ireland,male,57,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Primary,Other agriculture and veterinary,North Tipperary
Tommy Murphy,Ireland,male,20,Single,Student or pupil,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Technical/vocational,Business and administration (broad programmes),Wicklow
Rory O'Reilly,Ireland,male,62,Married (first marriage),Unemployed having lost or given up previous job,Other service activities (S),Upper secondary,Building and civil engineering,Dun Laoghaire-Rathdown
James Kennedy,Ireland,male,26,Married (first marriage),Student or pupil,Construction (F),Postgraduate diploma or degree,Other engineering/manufacturing and construction,Dublin City
Ella Ryan,Ireland,female,66,Married (first marriage),Retired,Industry not stated,Primary,Business and administration (broad programmes),Wexford
Jane O'Neill,Ireland,female,28,Single,Employee,Education (P),Honours bachelor degree/professional qualification or both,Education and teacher training,Louth
Sophie O'Neill,Ireland,female,27,Single,Employee,Human health and social work activities (Q),Advanced certificate/completed apprenticeship,Hotel/restaurant and catering,Wicklow
Harry O'Sullivan,Ireland,male,63,Married (first marriage),Employee,Information and communication (J),Lower secondary,Building and civil engineering,Leitrim
Joshua Murphy,Ireland,male,27,Single,Unemployed having lost or given up previous job,Manufacturing (C),Primary,Building and civil engineering,South Dublin
Evan O'Sullivan,Ireland,male,61,Married (first marriage),Employer or own account worker,Construction (F),Primary,Motor vehicles/ships and aircraft,Cork County
Dara Murphy,Ireland,male,44,Married (first marriage),Employee,Arts/entertainment and recreation (R),Primary,Motor vehicles/ships and aircraft,Dublin City
Ella O'Reilly,Ireland,female,68,Married (first marriage),Looking after home/family,Information and communication (J),Upper secondary,Economics,Dublin City
Kate O'Brien,Ireland,female,62,Single,Employee,Accommodation and food service activities (I),Primary,Accounting and taxation,Laois
Eoin O'Brien,Ireland,male,74,Widowed,Looking after home/family,Information and communication (J),Primary,Education and teacher training,Fingal
Sophie O'Reilly,Ireland,female,41,Married (first marriage),Employee,Accommodation and food service activities (I),Lower secondary,Education and teacher training,Cork County
Monika Falk,Germany,female,68,Married (first marriage),Retired,Industry not stated,Postgraduate diploma or degree,Nursing and caring,Clare
Alice Lynch,Ireland,female,30,Single,Looking after home/family,Public administration and defence; compulsory social security (O),Upper secondary,Design,South Dublin
Adam Murray,Ireland,male,57,Separated (including deserted),Retired,Industry not stated,Primary,Electricity and energy,Galway County
Laoise Ryan,Ireland,female,48,Single,Looking after home/family,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Higher certificate,Physical sciences (physics/chemistry/earth science),Kerry
Alison O'Neill,Ireland,female,31,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Technical/vocational,Other health and welfare,Donegal
Rian Lynch,Ireland,male,28,Single,Employee,Manufacturing (C),Technical/vocational,Motor vehicles/ships and aircraft,Dublin City
Kayla Murphy,Ireland,female,22,Separated (including deserted),Looking after home/family,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Education and teacher training,Clare
Ava O'Reilly,Ireland,female,42,Separated (including deserted),Employee,Education (P),Higher certificate,Marketing and advertising,Meath
Emmanuel O'Sullivan,Ireland,male,53,Single,Unable to work due to permanent sickness or disability,Transportation and storage (H),Upper secondary,Engineering and engineering trades (broad programmes),South Tipperary
Matthew Quinn,Ireland,male,33,Single,Employer or own account worker,Manufacturing (C),Upper secondary,Crop and livestock production,Kilkenny
Maja O'Neill,Ireland,female,22,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Accounting and taxation,Mayo
Sophia O'Brien,Ireland,female,47,Married (first marriage),Employee,Construction (F),Higher certificate,Education and teacher training,Louth
Emily O'Sullivan,Ireland,female,37,Married (first marriage),Looking after home/family,Human health and social work activities (Q),Honours bachelor degree/professional qualification or both,Physical sciences (physics/chemistry/earth science),Roscommon
Saraswati Mistry,India,female,45,Married (first marriage),Employer or own account worker,Education (P),Higher certificate,Medicine,Galway City
Dylan O'Brien,Ireland,male,23,Single,Student or pupil,Manufacturing (C),Technical/vocational,Other health and welfare,Limerick County
Cillian Walsh,Ireland,male,29,Single,Employee,Manufacturing (C),Postgraduate diploma or degree,Hair and beauty services,South Tipperary
Olivia Kelly,Ireland,female,53,Married (first marriage),Employee,Financial and insurance activities (K),Lower secondary,Nursing and caring,Dublin City
Orlaith O'Sullivan,Ireland,female,51,Separated (including deserted),Unemployed having lost or given up previous job,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Ordinary bachelor degree/professional qualification or both,Education and teacher training,Westmeath
Robyn Murphy,Ireland,female,43,Married (first marriage),Employer or own account worker,Public administration and defence; compulsory social security (O),Postgraduate diploma or degree,Physical sciences (physics/chemistry/earth science),Carlow
Rory Murphy,Ireland,male,22,Single,Student or pupil,Agriculture/forestry and fishing (A),Technical/vocational,Foreign languages,Limerick County
Clara O'Sullivan,Ireland,female,29,Single,Unemployed looking for first regular job,Information and communication (J),Lower secondary,Secretarial and office work,Kerry
Ava O'Sullivan,Ireland,female,67,Separated (including deserted),Retired,Industry not stated,Technical/vocational,Education and teacher training,South Tipperary
Marcus Kennedy,Ireland,male,36,Married (first marriage),Employee,Construction (F),Higher certificate,Crop and livestock production,Carlow
Adam Doyle,Ireland,male,35,Divorced,Employee,Manufacturing (C),Ordinary bachelor degree/professional qualification or both,Other social sciences/business and law subjects,Fingal
Molly O'Sullivan,Ireland,female,64,Married (first marriage),Retired,Industry not stated,Primary,Education and teacher training,Cork City
Ronan O'Neill,Ireland,male,30,Married (first marriage),Unemployed having lost or given up previous job,Professional/scientific and technical activities (M),Lower secondary,Business and administration (broad programmes),Cavan
Alisha O'Moore,Ireland,female,41,Single,Unable to work due to permanent sickness or disability,Human health and social work activities (Q),Lower secondary,Business and administration (broad programmes),Louth
Daniel O'Neill,Ireland,male,19,Single,Student or pupil,Construction (F),Upper secondary,Nursing and caring,Kildare
Armis Paulauskas,Lithuania,male,35,Single,Employer or own account worker,Agriculture/forestry and fishing (A),Postgraduate diploma or degree,Management and administration,South Dublin
Sadhbh Gallagher,Ireland,female,15,Single,Student or pupil,Other service activities (S),Lower secondary,Business and administration (broad programmes),Carlow
Jakub Bloniarz,Poland,male,41,Married (first marriage),Employee,Public administration and defence; compulsory social security (O),Lower secondary,Building and civil engineering,Dublin City
Julia O'Neill,Ireland,female,47,Married (first marriage),Employee,Education (P),Ordinary bachelor degree/professional qualification or both,Accounting and taxation,Fingal
