FullName,NativeCountry,Gender,Age,MaritalStatus,EconomicStatus,IndustrialGroup,HighestEducationCompleted,FieldOfStudy,County
Oleg Oliynyk,Ukraine,male,27,Single,Employee,Construction (F),Ordinary bachelor degree/professional qualification or both,Engineering and engineering trades (broad programmes),Dublin City
Luke O'Brien,Ireland,male,33,Single,Employee,Manufacturing (C),Honours bachelor degree/professional qualification or both,Accounting and taxation,Dublin City
Cillian McCarthy,Ireland,male,46,Married (first marriage),Employee,Administrative and support service activities (N),Postgraduate diploma or degree,Crop and livestock production,Dublin City
Harry O'Connor,Ireland,male,43,Married (first marriage),Employee,Administrative and support service activities (N),Honours bachelor degree/professional qualification or both,Physical sciences (physics/chemistry/earth science),Meath
Emilia O'Moore,Ireland,female,24,Single,Employee,Financial and insurance activities (K),Upper secondary,Foreign languages,Galway City
Tara Gallagher,Ireland,female,34,Single,Employee,Human health and social work activities (Q),Advanced certificate/completed apprenticeship,Hotel/restaurant and catering,South Dublin
Conor O'Byrne,Ireland,male,51,Divorced,Employer or own account worker,Manufacturing (C),Lower secondary,Building and civil engineering,Cork County
Nancy Zhang,China,female,60,Married (first marriage),Employer or own account worker,Information and communication (J),Primary,Physical sciences (physics/chemistry/earth science),Kildare
Luke O'Neill,Ireland,male,57,Single,Looking after home/family,Administrative and support service activities (N),Lower secondary,Physical sciences (physics/chemistry/earth science),Longford
Oisin McCarthy,Ireland,male,41,Married (first marriage),Employee,Construction (F),Higher certificate,Crop and livestock production,Dublin City
Ryan O'Byrne,Ireland,male,24,Single,Student or pupil,Human health and social work activities (Q),Upper secondary,Education and teacher training,Dublin City
Heli Kukk,Estonia,female,37,Married (first marriage),Employee,Human health and social work activities (Q),Postgraduate diploma or degree,Other social sciences/business and law subjects,Galway County
Hannah O'Byrne,Ireland,female,57,Married (first marriage),Employee,Education (P),Lower secondary,Other health and welfare,Meath
Ciara O'Brien,Ireland,female,63,Widowed,Looking after home/family,Financial and insurance activities (K),Technical/vocational,Nursing and caring,Monaghan
Mark Murphy,Ireland,male,34,Single,Employee,Manufacturing (C),Upper secondary,Crop and livestock production,Limerick County
Connor Smith,Ireland,male,23,Single,Student or pupil,Accommodation and food service activities (I),Postgraduate diploma or degree,Other arts,Kerry
Ellen O'Brien,Ireland,female,38,Married (first marriage),Unemployed having lost or given up previous job,Public administration and defence; compulsory social security (O),Technical/vocational,History and archaeology,Sligo
Hannah O'Neill,Ireland,female,24,Married (first marriage),Student or pupil,Professional/scientific and technical activities (M),Upper secondary,Hair and beauty services,South Dublin
Lauren O'Sullivan,Ireland,female,31,Single,Unable to work due to permanent sickness or disability,Accommodation and food service activities (I),Upper secondary,Hotel/restaurant and catering,Wicklow
Daniel Murphy,Ireland,male,46,Divorced,Employee,Public administration and defence; compulsory social security (O),Primary,Building and civil engineering,Donegal
Lucy McCarthy,Ireland,female,73,Married (first marriage),Retired,Industry not stated,Upper secondary,Computer use,Limerick City
Brian O'Neill,Ireland,male,29,Married (first marriage),Employee,Agriculture/forestry and fishing (A),Advanced certificate/completed apprenticeship,Physical sciences (physics/chemistry/earth science),Cork City
Siobhan McCarthy,Ireland,female,74,Divorced,Retired,Industry not stated,Honours bachelor degree/professional qualification or both,Education and teacher training,Monaghan
Katie Lynch,Ireland,female,34,Married (first marriage),Employee,Professional/scientific and technical activities (M),Upper secondary,Nursing and caring,Meath
Jack McCarthy,Ireland,male,44,Single,Employer or own account worker,Construction (F),Lower secondary,Nursing and caring,Dublin City
Kayla O'Sullivan,Ireland,female,28,Married (first marriage),Employee,Public administration and defence; compulsory social security (O),Ordinary bachelor degree/professional qualification or both,Other personal services,Meath
Nicole Walsh,Ireland,female,37,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Postgraduate diploma or degree,Hotel/restaurant and catering,Wexford
Cara O'Kelly,Ireland,female,38,Married (first marriage),Employee,Arts/entertainment and recreation (R),Upper secondary,Other science/mathematics and computing,Donegal
Jack O'Neill,Ireland,male,45,Separated (including deserted),Looking after home/family,Manufacturing (C),Technical/vocational,Business and administration (broad programmes),Mayo
Denise Roux,France,female,31,Single,Employee,Human health and social work activities (Q),Technical/vocational,Nursing and caring,Dun Laoghaire-Rathdown
Noah Moore,Ireland,male,54,Married (first marriage),Employee,Information and communication (J),Lower secondary,Architecture and town planning,Dublin City
Adam Murphy,Ireland,male,22,Single,Employee,Construction (F),Higher certificate,Business and administration (broad programmes),Fingal
Alan O'Neill,Ireland,male,16,Single,Student or pupil,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Other social sciences/business and law subjects,Limerick County
Jason O'Byrne,Ireland,male,21,Single,Student or pupil,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Building and civil engineering,Kildare
Ronan O'Neill,Ireland,male,37,Single,Employee,Transportation and storage (H),Upper secondary,Other science/mathematics and computing,Sligo
Anna Doyle,Ireland,female,26,Single,Employee,Information and communication (J),Ordinary bachelor degree/professional qualification or both,History and archaeology,Cavan
Sean O'Kelly,Ireland,male,60,Married (first marriage),Employee,Administrative and support service activities (N),Primary,Mechanics and metalwork,Donegal
Lucy O'Neill,Ireland,female,24,Single,Student or pupil,Education (P),Upper secondary,Marketing and advertising,Fingal
Tomas O'Neill,Ireland,male,42,Single,Employee,Agriculture/forestry and fishing (A),Technical/vocational,Economics,Meath
Rosa Bianchi,Italy,female,55,Married (first marriage),Employee,Accommodation and food service activities (I),Postgraduate diploma or degree,Other agriculture and veterinary,Mayo
Clodagh O'Sullivan,Ireland,female,72,Re-married (following dissolution of previous marriage),Retired,Industry not stated,Higher certificate,Education and teacher training,Sligo
Christopher O'Kelly,Ireland,male,66,Married (first marriage),Retired,Industry not stated,Primary,Building and civil engineering,Mayo
Robert O'Sullivan,Ireland,male,35,Married (first marriage),Unemployed having lost or given up previous job,Accommodation and food service activities (I),Postgraduate diploma or degree,Physical sciences (physics/chemistry/earth science),Cork County
hadiza Adebayo,Niger,female,45,Married (first marriage),Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Advanced certificate/completed apprenticeship,Computer use,Fingal
Kellie Kelly,Ireland,female,29,Single,Student or pupil,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Education and teacher training,Galway County
Charlotte O'Kelly,Ireland,female,19,Single,Student or pupil,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Physical sciences (physics/chemistry/earth science),Fingal
Zdenek Cihak,Czech Republic,male,44,Married (first marriage),Unemployed having lost or given up previous job,Manufacturing (C),Primary,Computer science,Limerick County
Saoirse O'Reilly,Ireland,female,58,Married (first marriage),Unable to work due to permanent sickness or disability,Human health and social work activities (Q),Technical/vocational,Other humanities,South Dublin
Charlie Murphy,Ireland,male,25,Single,Employee,Financial and insurance activities (K),Honours bachelor degree/professional qualification or both,Hotel/restaurant and catering,Dublin City
Jamie O'Neill,Ireland,male,50,Married (first marriage),Unemployed having lost or given up previous job,Construction (F),Primary,Electricity and energy,Mayo
Anthony O'Reilly,Ireland,male,35,Single,Employer or own account worker,Transportation and storage (H),Postgraduate diploma or degree,Engineering and engineering trades (broad programmes),Fingal
Leah O'Gallagher,Ireland,female,20,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Nursing and caring,Offaly
Krystyna Babiarz,Poland,female,36,Single,Unemployed having lost or given up previous job,Manufacturing (C),Upper secondary,Sea transportation,Galway County
Lilly O'Neill,Ireland,female,47,Married (first marriage),Unemployed having lost or given up previous job,Public administration and defence; compulsory social security (O),Lower secondary,Education and teacher training,Fingal
Kyle O'Reilly,Ireland,male,76,Married (first marriage),Retired,Industry not stated,Primary,Engineering and engineering trades (broad programmes),Donegal
Eunice Villanueva,Philippines,female,53,Married (first marriage),Employee,Human health and social work activities (Q),Honours bachelor degree/professional qualification or both,Hotel/restaurant and catering,Fingal
Ava O'Neill,Ireland,female,38,Married (first marriage),Looking after home/family,Education (P),Upper secondary,Other humanities,Galway County
Maya O'Brien,Ireland,female,54,Married (first marriage),Employee,Education (P),Higher certificate,Nursing and caring,Carlow
Ciara O'Reilly,Ireland,female,32,Married (first marriage),Employee,Financial and insurance activities (K),Ordinary bachelor degree/professional qualification or both,Other science/mathematics and computing,Kerry
Isobel McCarthy,Ireland,female,64,Married (first marriage),Retired,Industry not stated,Primary,Nursing and caring,Clare
Conor Murphy,Ireland,male,35,Married (first marriage),Employee,Agriculture/forestry and fishing (A),Upper secondary,Secretarial and office work,Kildare
Cillian Murphy,Ireland,male,55,Married (first marriage),Employee,Public administration and defence; compulsory social security (O),Advanced certificate/completed apprenticeship,Foreign languages,Waterford County
Aine O'Reilly,Ireland,female,36,Married (first marriage),Employee,Other service activities (S),Honours bachelor degree/professional qualification or both,Other health and welfare,Dun Laoghaire-Rathdown
Jonathan O'Brien,Ireland,male,40,Married (first marriage),Looking after home/family,Mining and quarrying (B),Ordinary bachelor degree/professional qualification or both,Other engineering/manufacturing and construction,Waterford County
Alicia O'Moore,Ireland,female,18,Single,Student or pupil,Transportation and storage (H),Upper secondary,Audio-visual techniques and media production,Galway County
Grace O'Connor,Ireland,female,30,Married (first marriage),Employee,Human health and social work activities (Q),Upper secondary,History and archaeology,Fingal
Fariha Mahar,Pakistan,female,31,Married (first marriage),Employee,Arts/entertainment and recreation (R),Higher certificate,Nursing and caring,Dun Laoghaire-Rathdown
Muireann O'Kelly,Ireland,female,53,Married (first marriage),Employee,Human health and social work activities (Q),Technical/vocational,Music and performing arts,Fingal
Layla O'Kelly,Ireland,female,45,Married (first marriage),Unemployed having lost or given up previous job,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Primary,Other arts,Roscommon
Anthony O'Kelly,Ireland,male,49,Married (first marriage),Employee,Financial and insurance activities (K),Postgraduate diploma or degree,Other humanities,Kilkenny
Aoibhe O'Reilly,Ireland,female,43,Married (first marriage),Employee,Public administration and defence; compulsory social security (O),Upper secondary,Other social sciences/business and law subjects,Cork County
Aoibheann O'Sullivan,Ireland,female,51,Married (first marriage),Employee,Electricity/gas/steam and air conditioning supply (D),Advanced certificate/completed apprenticeship,Foreign languages,North Tipperary
Abbie O'Kelly,Ireland,female,36,Single,Employee,Manufacturing (C),Ordinary bachelor degree/professional qualification or both,Other health and welfare,South Dublin
Eberhard Heinz,Germany,male,32,Married (first marriage),Employee,Administrative and support service activities (N),Lower secondary,Building and civil engineering,Leitrim
Jack O'Moore,Ireland,male,54,Single,Employee,Construction (F),Postgraduate diploma or degree,Building and civil engineering,Wicklow
Jayden Lynch,Ireland,male,31,Single,Employee,Construction (F),Advanced certificate/completed apprenticeship,Management and administration,Wicklow
Alex Doherty,Ireland,male,23,Single,Unemployed looking for first regular job,Financial and insurance activities (K),Upper secondary,Building and civil engineering,Dublin City
Luke O'Kelly,Ireland,male,32,Married (first marriage),Employee,Financial and insurance activities (K),Technical/vocational,Building and civil engineering,Limerick County
Darragh O'Kelly,Ireland,male,69,Married (first marriage),Employee,Mining and quarrying (B),Technical/vocational,Education and teacher training,Cork County
Jason O'Brien,Ireland,male,26,Married (first marriage),Unemployed having lost or given up previous job,Agriculture/forestry and fishing (A),Honours bachelor degree/professional qualification or both,Ground transportation,Kilkenny
Justina Petrauskas,Lithuania,female,29,Single,Employee,Manufacturing (C),Upper secondary,Education and teacher training,Dun Laoghaire-Rathdown
Odhran O'Brien,Ireland,male,55,Married (first marriage),Employee,Human health and social work activities (Q),Upper secondary,Business and administration (broad programmes),Limerick County
Ellie O'Byrne,Ireland,female,38,Married (first marriage),Unemployed having lost or given up previous job,Financial and insurance activities (K),Ordinary bachelor degree/professional qualification or both,Management and administration,Louth
Emily Smith,Ireland,female,32,Married (first marriage),Looking after home/family,Human health and social work activities (Q),Postgraduate diploma or degree,Marketing and advertising,Laois
Jamie Murphy,Ireland,male,79,Married (first marriage),Retired,Industry not stated,Upper secondary,Economics,Dublin City
Samuel O'Byrne,Ireland,male,28,Single,Employee,Accommodation and food service activities (I),Higher certificate,Electricity and energy,Galway City
Sean O'Neill,Ireland,male,72,Married (first marriage),Employer or own account worker,Construction (F),Lower secondary,Engineering and engineering trades (broad programmes),Kildare
Jacob Murphy,Ireland,male,23,Single,Employee,Agriculture/forestry and fishing (A),Lower secondary,Building and civil engineering,Dublin City
Zach O'Neill,Ireland,male,21,Single,Student or pupil,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Technical/vocational,Nursing and caring,Donegal
Patrick O'Sullivan,Ireland,male,33,Single,Employee,Accommodation and food service activities (I),Postgraduate diploma or degree,Other engineering/manufacturing and construction,Kilkenny
Faye O'Neill,Ireland,female,29,Married (first marriage),Employee,Manufacturing (C),Technical/vocational,Secretarial and office work,Limerick County
Robert McCarthy,Ireland,male,36,Married (first marriage),Unemployed having lost or given up previous job,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Primary,Other agriculture and veterinary,North Tipperary
Chloe O'Neill,Ireland,female,35,Married (first marriage),Looking after home/family,Manufacturing (C),Upper secondary,Crop and livestock production,Laois
Emma O'Brien,Ireland,female,42,Married (first marriage),Employer or own account worker,Education (P),Ordinary bachelor degree/professional qualification or both,Other engineering/manufacturing and construction,Monaghan
Aidan O'Brien,Ireland,male,28,Single,Employee,Human health and social work activities (Q),Primary,Hotel/restaurant and catering,Donegal
Anna Jakubiak,Poland,female,30,Married (first marriage),Employee,Professional/scientific and technical activities (M),Technical/vocational,Secretarial and office work,South Tipperary
Piotr Borecki,Poland,male,22,Single,Employee,Transportation and storage (H),Honours bachelor degree/professional qualification or both,Building and civil engineering,Dun Laoghaire-Rathdown
Senan O'Kelly,Ireland,male,24,Single,Unemployed having lost or given up previous job,Human health and social work activities (Q),Honours bachelor degree/professional qualification or both,Building and civil engineering,Fingal
Mia O'Neill,Ireland,female,20,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Nursing and caring,Dublin City
Anthony O'Sullivan,Ireland,male,24,Single,Student or pupil,Manufacturing (C),Higher certificate,Physical sciences (physics/chemistry/earth science),Dun Laoghaire-Rathdown
Niamh O'Sullivan,Ireland,female,37,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Technical/vocational,Economics,Wexford
Ava O'Brien,Ireland,female,42,Separated (including deserted),Looking after home/family,Education (P),Technical/vocational,Building and civil engineering,Limerick City
Mia O'Brien,Ireland,female,22,Single,Unable to work due to permanent sickness or disability,Education (P),Upper secondary,Other health and welfare,Kildare
Saoirse O'Brien,Ireland,female,60,Married (first marriage),Unemployed having lost or given up previous job,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Technical/vocational,Nursing and caring,Waterford City
Chloe O'Neill,Ireland,female,41,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Ordinary bachelor degree/professional qualification or both,Nursing and caring,Meath
Olivia O'Neill,Ireland,female,36,Married (first marriage),Student or pupil,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Honours bachelor degree/professional qualification or both,Economics,Fingal
Kinga Ewy,Poland,female,52,Married (first marriage),Unemployed having lost or given up previous job,Manufacturing (C),Honours bachelor degree/professional qualification or both,Hotel/restaurant and catering,Cork County
Aisling Murphy,Ireland,female,50,Married (first marriage),Unemployed having lost or given up previous job,Human health and social work activities (Q),Upper secondary,Other health and welfare,Waterford County
Ailbhe Walsh,Ireland,female,17,Single,Student or pupil,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Other health and welfare,Fingal
Aine Kennedy,Ireland,female,50,Married (first marriage),Employee,Transportation and storage (H),Upper secondary,Education and teacher training,South Dublin
Daragh O'Byrne,Ireland,male,59,Re-married (following dissolution of previous marriage),Unemployed having lost or given up previous job,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Computer use,Clare
Darragh O'Sullivan,Ireland,male,72,Married (first marriage),Retired,Industry not stated,Primary,Mechanics and metalwork,Dublin City
Donnacha O'Kelly,Ireland,male,37,Married (first marriage),Employee,Professional/scientific and technical activities (M),Technical/vocational,Other engineering/manufacturing and construction,Fingal
Tadhg O'Sullivan,Ireland,male,44,Married (first marriage),Unemployed having lost or given up previous job,Agriculture/forestry and fishing (A),Honours bachelor degree/professional qualification or both,Electricity and energy,Kerry
Mia McCarthy,Ireland,female,67,Single,Employer or own account worker,Education (P),Postgraduate diploma or degree,Hotel/restaurant and catering,Cork County
Sebastian Cywinski,Poland,male,35,Re-married (following dissolution of previous marriage),Unemployed having lost or given up previous job,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Mechanics and metalwork,Kildare
Hannah O'Neill,Ireland,female,61,Married (first marriage),Retired,Industry not stated,Primary,Secretarial and office work,Cork City
Cian O'Reilly,Ireland,male,74,Married (first marriage),Retired,Industry not stated,Technical/vocational,Engineering and engineering trades (broad programmes),Carlow
Ava Kelly,Ireland,female,35,Married (first marriage),Employee,Public administration and defence; compulsory social security (O),Lower secondary,Computer use,Donegal
Thierry LeFevre,France,male,70,Married (first marriage),Retired,Industry not stated,Primary,Other agriculture and veterinary,Dublin City
Sean McCarthy,Ireland,male,64,Married (first marriage),Unable to work due to permanent sickness or disability,Agriculture/forestry and fishing (A),Upper secondary,Hotel/restaurant and catering,Dun Laoghaire-Rathdown
Faye O'Neill,Ireland,female,63,Widowed,Employee,Human health and social work activities (Q),Lower secondary,Nursing and caring,Meath
Aidan O'Sullivan,Ireland,male,17,Single,Student or pupil,Manufacturing (C),Lower secondary,Business and administration (broad programmes),Cork County
Grace O'Sullivan,Ireland,female,29,Single,Employee,Financial and insurance activities (K),Technical/vocational,Computer science,Dublin City
Tony Koval,Ukraine,male,59,Married (first marriage),Retired,Industry not stated,Advanced certificate/completed apprenticeship,Other engineering/manufacturing and construction,Galway City
Anna Gut,Poland,female,23,Single,Student or pupil,Agriculture/forestry and fishing (A),Postgraduate diploma or degree,Economics,South Dublin
Jack O'Sullivan,Ireland,male,49,Single,Student or pupil,Manufacturing (C),Honours bachelor degree/professional qualification or both,Business and administration (broad programmes),Meath
Dylan Murphy,Ireland,male,55,Married (first marriage),Retired,Industry not stated,Primary,Crop and livestock production,Galway County
Max O'Sullivan,Ireland,male,29,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Honours bachelor degree/professional qualification or both,Other science/mathematics and computing,Fingal
Niamh Byrne,Ireland,female,34,Single,Employee,Education (P),Upper secondary,Medicine,Meath
Carter Chan,Canada,male,66,Married (first marriage),Retired,Industry not stated,Technical/vocational,Other agriculture and veterinary,Kerry
Oscar Murphy,Ireland,male,47,Married (first marriage),Employee,Administrative and support service activities (N),Honours bachelor degree/professional qualification or both,Other social sciences/business and law subjects,Cork County
Sean Murphy,Ireland,male,40,Married (first marriage),Employee,Manufacturing (C),Lower secondary,Physical sciences (physics/chemistry/earth science),Westmeath
Ben Gallagher,Ireland,male,72,Single,Retired,Industry not stated,Primary,Other engineering/manufacturing and construction,South Dublin
Cian O'Neill,Ireland,male,16,Single,Student or pupil,Electricity/gas/steam and air conditioning supply (D),Upper secondary,Hotel/restaurant and catering,Mayo
Brooke O'Kelly,Ireland,female,46,Married (first marriage),Employee,Manufacturing (C),Primary,Education and teacher training,Fingal
Krzysztof Cwikla,Poland,male,42,Single,Looking after home/family,Human health and social work activities (Q),Advanced certificate/completed apprenticeship,Other personal services,Westmeath
Darragh Murphy,Ireland,male,27,Single,Employee,Construction (F),Upper secondary,Other engineering/manufacturing and construction,Kildare
Rory Quinn,Ireland,male,65,Widowed,Retired,Industry not stated,Lower secondary,Other engineering/manufacturing and construction,Galway City
Tomasz Bozek,Poland,male,78,Widowed,Retired,Industry not stated,Higher certificate,Engineering and engineering trades (broad programmes),Cork County
Charlotte Doyle,Ireland,female,62,Widowed,Unable to work due to permanent sickness or disability,Education (P),Technical/vocational,Nursing and caring,Wicklow
Mason O'Byrne,Ireland,male,65,Widowed,Employer or own account worker,Manufacturing (C),Primary,Crop and livestock production,Dublin City
Romek Paulauskas,Lithuania,male,76,Single,Retired,Industry not stated,Upper secondary,Child care and youth services,Dun Laoghaire-Rathdown
Thomas O'Neill,Ireland,male,39,Married (first marriage),Employee,Public administration and defence; compulsory social security (O),Advanced certificate/completed apprenticeship,Biology and biochemistry,Dublin City
Mark Doherty,Ireland,male,35,Single,Employee,Public administration and defence; compulsory social security (O),Higher certificate,Engineering and engineering trades (broad programmes),South Dublin
Edward Murphy,Ireland,male,41,Married (first marriage),Employer or own account worker,Administrative and support service activities (N),Upper secondary,Other engineering/manufacturing and construction,Cork County
Jamie O'Brien,Ireland,male,57,Married (first marriage),Unemployed having lost or given up previous job,Transportation and storage (H),Technical/vocational,Nursing and caring,Dun Laoghaire-Rathdown
Fionn O'Sullivan,Ireland,male,59,Married (first marriage),Employer or own account worker,Manufacturing (C),Higher certificate,Other agriculture and veterinary,Kildare
Mia O'Brien,Ireland,female,21,Single,Student or pupil,Human health and social work activities (Q),Postgraduate diploma or degree,Education and teacher training,Kerry
Ryan O'Brien,Ireland,male,19,Single,Unemployed having lost or given up previous job,Public administration and defence; compulsory social security (O),Technical/vocational,Accounting and taxation,Galway County
Lexi O'Reilly,Ireland,female,27,Single,Employee,Human health and social work activities (Q),Technical/vocational,Accounting and taxation,Galway County
Sophie Lynch,Ireland,female,36,Divorced,Employee,Human health and social work activities (Q),Upper secondary,Other personal services,Wexford
Ella O'Brien,Ireland,female,62,Married (first marriage),Unable to work due to permanent sickness or disability,Human health and social work activities (Q),Honours bachelor degree/professional qualification or both,Marketing and advertising,Donegal
Petra Meister,Germany,female,67,Separated (including deserted),Employer or own account worker,Human health and social work activities (Q),Postgraduate diploma or degree,Nursing and caring,South Tipperary
Mairead O'Sullivan,Ireland,female,16,Single,Student or pupil,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Computer science,Fingal
Oisin O'Ryan,Ireland,male,17,Single,Student or pupil,Professional/scientific and technical activities (M),Lower secondary,Crop and livestock production,Kildare
Rebecca Walsh,Ireland,female,39,Married (first marriage),Employee,Other service activities (S),Upper secondary,Nursing and caring,Limerick County
kader Okonkwo,Niger,male,72,Married (first marriage),Retired,Industry not stated,Primary,Other engineering/manufacturing and construction,Cork County
Michaela McCarthy,Ireland,female,32,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Advanced certificate/completed apprenticeship,Marketing and advertising,South Dublin
Jamie Murphy,Ireland,male,37,Single,Employee,Administrative and support service activities (N),Lower secondary,Engineering and engineering trades (broad programmes),Kilkenny
Sophie Smith,Ireland,female,29,Single,Looking after home/family,Public administration and defence; compulsory social security (O),Technical/vocational,Psychology,Fingal
Oran O'Sullivan,Ireland,male,45,Married (first marriage),Employee,Mining and quarrying (B),Upper secondary,Accounting and taxation,Waterford County
Kevin O'Brien,Ireland,male,35,Single,Employee,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Motor vehicles/ships and aircraft,Waterford County
Jane O'Connor,Ireland,female,49,Married (first marriage),Employer or own account worker,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Technical/vocational,Nursing and caring,Galway City
Cian Murphy,Ireland,male,73,Married (first marriage),Unable to work due to permanent sickness or disability,Financial and insurance activities (K),Primary,Other agriculture and veterinary,Donegal
ousmane Martins,Niger,male,63,Married (first marriage),Unemployed having lost or given up previous job,Financial and insurance activities (K),Primary,Motor vehicles/ships and aircraft,Dun Laoghaire-Rathdown
Mary Murphy,Ireland,female,63,Married (first marriage),Looking after home/family,Education (P),Honours bachelor degree/professional qualification or both,Medicine,Kilkenny
Hannah Walsh,Ireland,female,47,Single,Employer or own account worker,Education (P),Primary,Accounting and taxation,Dublin City
Nicole Doherty,Ireland,female,15,Single,Student or pupil,Other service activities (S),Lower secondary,Social work and counselling,Dublin City
Sunita Banerjee,India,female,17,Single,Student or pupil,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Lower secondary,Education and teacher training,Fingal
Molly O'Brien,Ireland,female,24,Single,Student or pupil,Financial and insurance activities (K),Upper secondary,Education and teacher training,Roscommon
Rory O'Reilly,Ireland,male,28,Married (first marriage),Looking after home/family,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),Upper secondary,Motor vehicles/ships and aircraft,Sligo
Conor O'Connor,Ireland,male,44,Married (first marriage),Employee,Professional/scientific and technical activities (M),Primary,Building and civil engineering,Cork County
athar Mohamed,Pakistan,male,38,Divorced,Looking after home/family,Administrative and support service activities (N),Technical/vocational,Law,Sligo
Ryan O'Neill,Ireland,male,64,Separated (including deserted),Unemployed having lost or given up previous job,Manufacturing (C),Primary,Business and administration (broad programmes),Laois
John Nelson,United States of America,male,56,Married (first marriage),Unemployed having lost or given up previous job,Agriculture/forestry and fishing (A),Higher certificate,Mechanics and metalwork,Cavan
